source,target,propagation_probability
api_gateway,auth_service,0.6
api_gateway,user_service,0.6
api_gateway,order_service,0.7
auth_service,cache_service,0.4
auth_service,data_storage,0.7
user_service,data_storage,0.7
user_service,cache_service,0.3
order_service,payment_service,0.7
order_service,inventory_service,0.6
order_service,message_queue,0.3
payment_service,payment_gateway,0.8
payment_service,data_storage,0.7
inventory_service,data_storage,0.7
message_queue,notification_service,0.3
notification_service,analytics_service,0.4
analytics_service,data_storage,0.6